name,title,license,formats,num_resources,metadata_modified,url
godisnji-izvjestaj-o-izvrsenju-proracuna-grada-zagreba-za-2016,Godišnji izvještaj o izvršenju proračuna Grada Zagreba za 2016.,Otvorena dozvola (OD),CSV|PDF|XLS,9,2024-02-06T14:05:29.968537,https://data.zagreb.hr/dataset/godisnji-izvjestaj-o-izvrsenju-proracuna-grada-zagreba-za-2016
godisnji-izvjestaj-o-izvrsenju-proracuna-grada-zagreba-za-2017,Godišnji izvještaj o izvršenju proračuna Grada Zagreba za 2017.,Otvorena dozvola (OD),CSV|PDF|XLS,9,2024-02-06T14:05:40.403260,https://data.zagreb.hr/dataset/godisnji-izvjestaj-o-izvrsenju-proracuna-grada-zagreba-za-2017
grad-zagreb-prostorna-jedinica,Grad Zagreb - prostorna jedinica područne (regionalne) samouprave,Otvorena dozvola (OD),SHP,1,2025-02-03T13:27:37.690835,https://data.zagreb.hr/dataset/grad-zagreb-prostorna-jedinica
gradska-skupstina-grada-zagreba,Gradska skupština Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,8,2026-07-10T11:29:27.900436,https://data.zagreb.hr/dataset/gradska-skupstina-grada-zagreba
gradske-cetvrti-prostorna-jedinica-mjesne-samouprave-za-podrucje-grada-zagreba,Gradske četvrti - prostorna jedinica mjesne samouprave za područje Grada Zagreba,Otvorena dozvola (OD),SHP,1,2025-02-03T13:40:26.282387,https://data.zagreb.hr/dataset/gradske-cetvrti-prostorna-jedinica-mjesne-samouprave-za-podrucje-grada-zagreba
gradski_vrtici_grada_zagreba,Gradski vrtići Grada Zagreba - kontakt podaci,Otvorena dozvola (OD),CSV|JSON|XML,3,2026-09-02T14:50:18.474347,https://data.zagreb.hr/dataset/gradski_vrtici_grada_zagreba
grafiti-na-javnim-povrsinama,Grafiti na javnim i privatnim površinama,Otvorena dozvola (OD),CSV,1,2024-02-06T13:53:22.116904,https://data.zagreb.hr/dataset/grafiti-na-javnim-povrsinama
hitne-intervencije-na-podrucju-grada-zagreba,Hitne intervencije na području Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,6,2024-02-28T09:14:01.084927,https://data.zagreb.hr/dataset/hitne-intervencije-na-podrucju-grada-zagreba
holding-podruznice,Holding podružnice,Otvorena dozvola (OD),XLSX,1,2025-03-07T09:42:55.547447,https://data.zagreb.hr/dataset/holding-podruznice
imovinsko-pravni-ugovori-2022,Imovinsko-pravni ugovori,Otvorena dozvola (OD),CSV|XLSX,5,2025-12-30T12:45:04.570742,https://data.zagreb.hr/dataset/imovinsko-pravni-ugovori-2022
izdvojene-ordinacije-za-pregled-bolesnika-pod-sumnjom-na-zarazenost-koronavirusom,Izdvojene ordinacije za pregled bolesnika pod sumnjom na zaraženost koronavirusom,Otvorena dozvola (OD),XLSX,1,2025-03-07T09:40:31.975641,https://data.zagreb.hr/dataset/izdvojene-ordinacije-za-pregled-bolesnika-pod-sumnjom-na-zarazenost-koronavirusom
izgradene-ceste-u-gradu-zagrebu,Izgrađene prometnice u Gradu Zagrebu,Otvorena dozvola (OD),CSV|XLSX,2,2025-04-29T08:33:47.522913,https://data.zagreb.hr/dataset/izgradene-ceste-u-gradu-zagrebu
javni-urbanisticko-arhitektonski-natjecaji,Javni urbanističko - arhitektonski natječaji,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T14:03:21.486677,https://data.zagreb.hr/dataset/javni-urbanisticko-arhitektonski-natjecaji
javni-wc-i,Javni WC-i,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-16T11:03:34.020760,https://data.zagreb.hr/dataset/javni-wc-i
kapitalna-ulaganja-2023,Kapitalna ulaganja 2023,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:23:55.054217,https://data.zagreb.hr/dataset/kapitalna-ulaganja-2023
kapitalna-ulaganja-2024,Kapitalna ulaganja 2024.,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-09-17T09:45:58.065247,https://data.zagreb.hr/dataset/kapitalna-ulaganja-2024
karta-sigurnih-zona-u-slucaju-potresa,Karta sigurnih zona u slučaju potresa,Otvorena dozvola (OD),XLSX,1,2024-02-28T09:08:33.040291,https://data.zagreb.hr/dataset/karta-sigurnih-zona-u-slucaju-potresa
katastarska-opcina-katastarska-prostorna-jedinica-za-podrucje-grada-zagreba,Katastarska općina - katastarska prostorna jedinica za područje Grada Zagreba,,CSV,1,2025-02-04T09:54:12.847255,https://data.zagreb.hr/dataset/katastarska-opcina-katastarska-prostorna-jedinica-za-podrucje-grada-zagreba
knjiznice-grada-zagreba1,Knjižnice Grada Zagreba,Otvorena dozvola (OD),XLSX,1,2025-03-07T09:53:49.861423,https://data.zagreb.hr/dataset/knjiznice-grada-zagreba1
komunalne_aktivnosti,Plan komunalnih aktivnosti,Otvorena dozvola (OD),CSV|JSON|XML,3,2026-09-05T18:39:01.324189,https://data.zagreb.hr/dataset/komunalne_aktivnosti
lista-sluzbenih-vozila-gradske-uprave,Registar službenih vozila gradske uprave,Otvorena dozvola (OD),CSV|XLSX,9,2026-01-09T10:07:02.759777,https://data.zagreb.hr/dataset/lista-sluzbenih-vozila-gradske-uprave
ljekarne-grada-zagreba,Ljekarne Grada Zagreba,Otvorena dozvola (OD),XLSX,1,2025-03-07T09:24:42.974344,https://data.zagreb.hr/dataset/ljekarne-grada-zagreba
